Country,Position,Track Name,Artist,Streams,URL
global,78,Tak Tiki Tak,Harry Nach,1025875,https://open.spotify.com/track/6Hw21Z5CmEV78jrncFpMwz
global,79,BLACK PARADE,Beyoncé,1008885,https://open.spotify.com/track/2qzUpSVI4NnPyWxbXwumTj
global,80,Lose Control,MEDUZA,998448,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
global,81,hot girl bummer,blackbear,995400,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
global,82,Shallow,Lady Gaga,983776,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
global,83,Some Say - Felix Jaehn Remix,Nea,958535,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
global,84,CÓMO SE SIENTE - Remix,Jhay Cortez,947521,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
global,85,RITMO (Bad Boys For Life),Black Eyed Peas,934905,https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc
global,86,Amarillo,J Balvin,923420,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
global,87,Savage,Megan Thee Stallion,922471,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
global,88,Tattoo,Rauw Alejandro,911392,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
global,89,Deep End Freestyle,Sleepy Hallow,909033,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
global,90,Skechers,DripReport,908631,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
global,91,Righteous,Juice WRLD,903518,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
global,92,Believer,Imagine Dragons,892971,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
global,93,Flex (feat. Juice WRLD),Polo G,886975,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
global,94,Jocelyn Flores,XXXTENTACION,868946,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
global,95,Big Body Benz,Bonez MC,865439,https://open.spotify.com/track/2WOJ7D52Ng3myrKlEf4Azj
global,96,Stay Gold,BTS,863492,https://open.spotify.com/track/0UwQTbq7ZtBJ7v530mpaxP
global,97,7 rings,Ariana Grande,862840,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
global,98,Beautiful People (feat. Khalid),Ed Sheeran,859384,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
global,99,rockstar (feat. 21 Savage),Post Malone,859221,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
global,100,SAD!,XXXTENTACION,843990,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
global,101,Say So (feat. Nicki Minaj),Doja Cat,842460,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
global,102,Go Crazy,Chris Brown,838394,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
global,103,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,835886,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
