Country,Position,Track Name,Artist,Streams,URL
brazil,80,Certo e Duvidoso (feat. Gaab) - Ao Vivo,Marcos & Belutti,109889,https://open.spotify.com/track/7ArNH109yIfwIquJ535fsi
brazil,81,Tudo Ok,Thiaguinho MT,109725,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
brazil,82,Sogra - Ao Vivo,Dilsinho,109519,https://open.spotify.com/track/4x8XaoLvpo6kd51PZD16RK
brazil,83,Lose Control,MEDUZA,109056,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
brazil,84,goosebumps,Travis Scott,108571,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
brazil,85,Mlks de Sp,Recayd Mob,108060,https://open.spotify.com/track/2cWCwWJTozhsGxmvrJJaXn
brazil,86,Tentativas,Marília Mendonça,107168,https://open.spotify.com/track/5STHFaWYO1KeyITjvB4hR8
brazil,87,Erro Antigo - Ao Vivo,Diego & Victor Hugo,105872,https://open.spotify.com/track/7qpXCkcr3Zj4LDvdiWryns
brazil,88,Party Girl,StaySolidRocky,105718,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
brazil,89,Meu Abrigo,Melim,104892,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
brazil,90,Amor de Que,Pabllo Vittar,104526,https://open.spotify.com/track/7vpGKEUPrA4UEsS4o4W1tP
brazil,91,Se Eu Fosse Você - Ao Vivo,Henrique & Juliano,104022,https://open.spotify.com/track/3HXLUh9lzSrSLvrvLk2LjC
brazil,92,Falling,Trevor Daniel,103842,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
brazil,93,Kenny G,Matuê,103099,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW
brazil,94,O Amor Que Tu Perdeu,Mila,102550,https://open.spotify.com/track/3VQF7gLCASQQ3lQkOnFBhz
brazil,95,"Para, Pensa e Volta (feat. Marília Mendonça) - Ao Vivo",Yasmin Santos,102438,https://open.spotify.com/track/2rRA0VNb8RcaUMAmgWFoCL
brazil,96,Tchau Brigado - Ao Vivo,Humberto & Ronaldo,102407,https://open.spotify.com/track/2TR917wkDeRvwTE5cSfZFf
brazil,97,Lençol Dobrado,João Gustavo e Murilo,101739,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
brazil,98,Gelo,Melim,101225,https://open.spotify.com/track/2DsZ6pXK1AG6emFugTeYW3
brazil,99,Gaiola É o Troco,MC Du Black,99880,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
brazil,100,Circles,Post Malone,99067,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
brazil,101,"Mil Anos - Recorded At Mosh Studios, São Paulo",Jorge & Mateus,97940,https://open.spotify.com/track/4UUtssVRs2aQTLQCAAtZg1
brazil,102,Tusa,KAROL G,97907,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
brazil,103,Sour Candy (with BLACKPINK),Lady Gaga,97649,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
brazil,104,Memories,Maroon 5,97408,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
brazil,105,Muito Cedo,Turma do Pagode,96915,https://open.spotify.com/track/7N0Py2msno86enR6JPNlpV
brazil,106,Dois Lados,Wesley Safadão,96738,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6
brazil,107,THE SCOTTS,THE SCOTTS,96420,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
brazil,108,Ferida Curada,Zé Neto & Cristiano,96319,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR
brazil,109,Hear Me Tonight,Alok,96288,https://open.spotify.com/track/0v8OKUrqZGoEbgEUXScRSQ
brazil,110,Amoreco,Simone & Simaria,95694,https://open.spotify.com/track/32qETd0e2eKMs2BiMocPc0
brazil,111,Deixa (feat. Ana Gabriela),Lagum,95378,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
brazil,112,Dois Enganados,Murilo Huff,94916,https://open.spotify.com/track/7McCAKExE8KsI2q4Y8wx4U
brazil,113,Deixa pra Amanhã - Ao Vivo,Dilsinho,94283,https://open.spotify.com/track/6hqJJY6rwAUS2zl9FsCQQH
brazil,114,Combatchy (feat. MC Rebecca),Anitta,94251,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
brazil,115,Tudo de bom,Pk,94193,https://open.spotify.com/track/3YqLyRFwjGuPBT7EHoyQH7
brazil,116,Adore You,Harry Styles,93827,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
brazil,117,Ouvi Dizer,Melim,93703,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
brazil,118,BLACK PARADE,Beyoncé,93525,https://open.spotify.com/track/2qzUpSVI4NnPyWxbXwumTj
brazil,119,Carreira Solo - Ao Vivo,Gusttavo Lima,93448,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
brazil,120,Previsão De Sofrimento - Ao Vivo,Diego & Ray,93424,https://open.spotify.com/track/29q6ong0J1OWKjoD1OfBhJ
brazil,121,Deus é por nós,MC Marks,93339,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
brazil,122,Meu talismã,IZA,93223,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX
brazil,123,Paredão,MC Kevinho,93093,https://open.spotify.com/track/5FFpRbsH9WDYNoLauRAHpj
brazil,124,Recairei - Ao Vivo,Os Barões Da Pisadinha,92648,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
brazil,125,Chama Ela (feat. Pedro Sampaio),Lexa,92354,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
brazil,126,Tiro Certo - Ao Vivo,Zé Felipe,91990,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
brazil,127,Pode Sumir,Luíza & Maurílio,90779,https://open.spotify.com/track/5OzvtpasMB3aPWpfVr0PsA
brazil,128,Complicado,Vitão,90705,https://open.spotify.com/track/6toDZSoqG5QUitFsoxavRy
brazil,129,Savage Remix (feat. Beyoncé),Megan Thee Stallion,90414,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
brazil,130,Supalonely,BENEE,89499,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
brazil,131,Algo Mais (Amante) - Ao Vivo,Xand Avião,89004,https://open.spotify.com/track/4jGzR5Vri06Y5T9SxM7m5P
brazil,132,Pode Jogar,MC Kevin o Chris,88647,https://open.spotify.com/track/6YClJMtJDyyJ2iaUf5npyC
brazil,133,Baila Comigo (feat. Kelly Ruiz) - Rennan da Penha Remix,Dayvi,88510,https://open.spotify.com/track/7M6D0ACikinC39ZtuEwMPo
brazil,134,Sei Lá,Projota,87869,https://open.spotify.com/track/6l1PdE7lQbodewVQh16GCM
brazil,135,Bebe e Vem Me Procurar,Raí Saia Rodada,87687,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq
brazil,136,50 Tons,MC Du Black,87303,https://open.spotify.com/track/330oIFOtslgdc4TBVApQuY
brazil,137,Say So,Doja Cat,85854,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
brazil,138,Intenção - Ao Vivo,Marília Mendonça,85641,https://open.spotify.com/track/1qy7aOHnfnOMJoT1fhoLYG
brazil,139,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,85281,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
brazil,140,A Casa É Sua,Casa Worship,85223,https://open.spotify.com/track/3h3fui1QXImL2zRcs9v2Lc
brazil,141,Savage Love (Laxed - Siren Beat),Jawsh 685,84746,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
brazil,142,Quarta Cadeira - Ao Vivo,Matheus & Kauan,84455,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
brazil,143,Believer,Imagine Dragons,84347,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
brazil,144,Rave de Favela (feat. BEAM),Major Lazer,83802,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
brazil,145,Vergonha pra Midia,Salvador Da Rima,83054,https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J
brazil,146,Some que ele vem atrás,Anitta,82913,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
brazil,147,I Don't Care (with Justin Bieber),Ed Sheeran,82475,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
brazil,148,Hit Contagiante,Felipe Original,82260,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
brazil,149,Piece Of Your Heart - Alok Remix,MEDUZA,82140,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW
brazil,150,Isso Que é Vida,Dennis DJ,82044,https://open.spotify.com/track/1dKYlw6v9wofuqb7EXSvPn
brazil,151,Breaking Me,Topic,82000,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
brazil,152,HIGHEST IN THE ROOM,Travis Scott,81655,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
brazil,153,Sunday Best,Surfaces,81548,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
brazil,154,Perdição,L7NNON,81046,https://open.spotify.com/track/7FikD4RFpmSZIvoP3rRwsS
brazil,155,Poesia Acústica #8: Amor e Samba,Pineapple StormTv,79610,https://open.spotify.com/track/2RoWhAVtQrPU53BERYlmYZ
brazil,156,Physical,Dua Lipa,79279,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
brazil,157,Cabaré,Mc Pierre,79130,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D
brazil,158,Intentions (feat. Quavo),Justin Bieber,79069,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
brazil,159,Eu Feat. Você,Melim,78729,https://open.spotify.com/track/2PaOWQIEkSFkmONCv1Vgui
brazil,160,"Vai Luan, Rainha dos Faixa Preta",Mc Brunyn,77948,https://open.spotify.com/track/2epD7jzjNfrQYxdSaODCvF
brazil,161,Surtada - Remix Brega Funk,Dadá Boladão,77442,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
brazil,162,SICKO MODE,Travis Scott,77430,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
brazil,163,Poesia Acústica #7: Céu Azul,Pineapple StormTv,77396,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW
brazil,164,Blueberry Faygo,Lil Mosey,77076,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
brazil,165,Onze e Pouquinho,Dilsinho,76600,https://open.spotify.com/track/65i9Mc7h1CG7ssI1OhMPcT
brazil,166,Ela Vem,MC G15,76527,https://open.spotify.com/track/31yFXM26dazFnWI2eoOM5R
brazil,167,áudio de desculpas,Manu Gavassi,76085,https://open.spotify.com/track/1JP3iGUerYKKYQwXGQGYks
brazil,168,Se Prepara 2,Mc Livinho,75968,https://open.spotify.com/track/0CgMeXQiNYJxPVQ2EMJxdL
brazil,169,Decisão Errada - Ao Vivo,Diego & Arnaldo,75942,https://open.spotify.com/track/1IGARc5YhGUSomhIk9DRDI
brazil,170,Pra Você Guardei O Amor,Nando Reis,75866,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv
brazil,171,Sou Vitorioso,Mc Lele JP,75865,https://open.spotify.com/track/37hCsK2djczyRGWMjqzbxD
brazil,172,Yummy,Justin Bieber,75421,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
brazil,173,Shallow,Lady Gaga,75414,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
brazil,174,bad guy,Billie Eilish,75110,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
brazil,175,Me conta da tua janela,ANAVITÓRIA,75080,https://open.spotify.com/track/6oEwV0l34zhnC7OmAqmHjY
